,Unnamed: 0,location,total_sqft,bath,price,bhk
492,504,Dhanmondi Road No 8A,1537,4,20000000,3
493,505,Dhanmondi Road No 8A,1010,2,8500000,3
494,506,Dhanmondi Road No 8A,1689,3,16500000,3
495,507,Dhanmondi Road No 8A,1920,4,15200000,3
496,508,Dhanmondi Road No 8A,1200,3,9000000,3
497,509,Dhanmondi Road No 8A,1362,3,11500000,3
498,510,Dhanmondi Road No 8A,1175,3,10000000,3
499,511,Dhanmondi Road No 8A,1816,4,18000000,3
500,512,Dhanmondi Road No 8A,1000,2,6000000,2
501,513,Dhanmondi Road No 12,3100,3,51680000,3
502,514,Dhanmondi Road No 12,3030,3,50574000,3
503,515,Dhanmondi Road No 12,2929,3,48978200,3
504,516,Dhanmondi Road No 12,3096,3,51616800,3
505,517,Dhanmondi Road No 12,3151,4,52485800,3
506,518,Dhanmondi Road No 12,3100,4,51680000,3
507,519,Dhanmondi Road No 12,3030,3,50574000,3
508,520,Dhanmondi Road No 12,2929,3,58978200,3
509,521,Dhanmondi Road No 12,3096,3,51616800,3
510,522,Dhanmondi Road No 12,2984,3,51093380,3
511,523,Dhanmondi Shukrabad,3191,5,33000000,4
512,524,Dhanmondi Shukrabad,2464,3,28861000,3
513,525,Dhanmondi Shukrabad,2850,4,37000000,4
514,526,Dhanmondi Shukrabad,1600,3,10500000,3
515,527,Dhanmondi Shukrabad,1600,3,10500000,3
516,528,Dhanmondi Shukrabad,1400,3,8800000,3
517,529,Dhanmondi Shukrabad,1156,3,6936000,3
518,530,Dhanmondi Shukrabad,1365,3,8872500,3
519,531,Dhanmondi Shukrabad,1388,3,13880000,3
520,532,Dhanmondi Shukrabad,2170,3,25000000,3
521,533,Dhanmondi Shukrabad,1250,3,7500000,3
522,534,West Dhanmondi,1550,3,11500000,3
523,535,West Dhanmondi,1272,3,11000000,3
524,536,West Dhanmondi,1550,3,11500000,3
525,537,West Dhanmondi,1550,3,11500000,3
526,538,West Dhanmondi,1550,3,11500000,3
527,539,West Dhanmondi,2616,4,25000000,4
528,540,West Dhanmondi,2356,4,20500000,4
529,541,West Dhanmondi,1550,3,11500000,3
530,542,West Dhanmondi,860,2,5500000,2
531,543,West Dhanmondi,1075,3,6500000,3
532,544,West Dhanmondi,950,2,4500000,2
533,545,West Dhanmondi,2360,3,21000000,3
534,546,West Dhanmondi,1458,3,9500000,3
535,547,West Dhanmondi,1050,2,6300000,2
536,548,Mohammadpur,1662,3,8800000,3
537,549,Mohammadpur,950,2,6600000,2
538,550,Mohammadpur,950,2,6600000,2
539,551,Mohammadpur,1495,4,8500000,4
540,552,Mohammadpur,860,2,5300000,2
541,553,Mohammadpur,1441,3,8800000,3
542,554,Mohammadpur,1105,4,6500000,4
543,555,Mohammadpur,950,2,5000000,2
544,556,Mohammadpur,1230,3,13000000,3
545,557,Mohammadpur,1760,4,11000000,3
546,558,Mohammadpur,1330,3,8800000,3
547,559,Mohammadpur,950,3,9050000,3
548,560,Mohammadpur,1400,4,10920000,4
549,561,Mohammadpur,1180,3,5500000,3
550,562,Mohammadpur,1350,4,8970000,4
551,563,Mohammadpur,1350,4,8970000,4
552,564,Mohammadpur,1050,2,5000000,2
553,565,Mohammadpur,1455,3,6024900,3
554,566,Mohammadpur,1445,3,6024900,3
555,567,Mohammadpur,1050,2,4700000,2
556,568,Mohammadpur,1180,3,5200000,3
